50	70
4	3	56
6	4	42
7	8	98
1	5	33
4	9	20
8	3	84
7	5	12
10	2	77
10	3	68
1	5	39
1	4	26
3	7	71
3	8	58
10	7	73
6	4	76
5	10	22
4	4	20
4	1	41
7	8	69
2	6	84
4	6	49
5	6	77
9	6	77
4	9	24
6	6	85
8	3	29
2	3	12
2	1	100
7	9	55
5	8	64
10	1	89
2	5	87
4	7	47
4	3	18
7	9	96
4	8	13
4	1	25
7	4	14
1	2	88
7	3	14
1	7	52
3	2	21
8	1	93
9	6	79
10	6	50
8	2	53
7	1	29
8	7	25
8	2	61
7	6	22
7	9	31
9	9	55
10	7	23
5	4	18
8	10	19
6	3	75
10	7	76
1	4	44
9	9	32
5	3	68
6	2	32
5	6	44
2	4	95
1	6	57
8	7	90
9	9	45
4	1	24
10	3	97
4	1	31
2	6	86
1	6	80
3	2	34
7	10	91
6	8	67
8	9	46
1	1	13
6	5	53
8	8	73
8	10	42
4	4	69
