50	100
3	19	64
2	20	31
2	20	25
7	14	11
8	9	68
7	6	18
3	9	82
1	9	92
4	5	54
2	2	49
11	22	37
11	23	94
2	3	56
7	7	46
8	23	58
11	16	75
3	7	75
6	5	86
12	3	51
4	21	19
6	20	92
6	24	11
7	24	69
9	15	98
7	14	43
9	21	44
8	16	94
1	20	41
12	9	10
7	12	69
4	1	46
1	24	71
5	14	70
11	22	92
10	23	95
9	4	68
12	19	99
2	12	29
10	22	21
11	25	51
6	7	26
1	21	33
3	18	71
7	3	97
6	19	60
2	10	14
11	5	17
9	9	76
2	2	73
10	13	87
5	19	54
12	1	63
12	20	41
7	13	77
10	2	64
2	11	17
9	4	48
3	14	62
12	11	20
9	14	95
4	23	93
11	4	93
1	10	96
3	2	78
10	5	33
4	12	70
8	5	37
9	22	42
6	18	46
7	9	53
12	13	70
10	11	62
5	23	82
12	18	61
10	4	60
12	8	43
3	19	82
4	23	77
4	14	42
7	24	78
11	3	49
6	17	50
10	11	97
4	11	56
9	15	55
1	20	86
10	3	72
9	24	78
4	2	50
2	7	44
8	3	97
8	25	38
2	10	35
2	21	66
8	22	27
11	7	25
4	9	68
7	3	100
3	11	59
10	11	78
