50	100
11	2	49
8	8	49
9	3	43
11	20	17
9	13	29
3	15	89
10	7	33
7	10	53
6	14	41
1	14	86
10	9	60
1	10	71
5	23	34
3	23	71
2	3	77
8	18	38
8	4	17
11	24	52
1	14	70
9	17	25
5	22	11
2	16	61
12	11	89
5	20	60
9	25	92
10	10	36
3	1	77
10	25	78
7	23	30
2	16	42
10	4	50
1	15	100
10	2	88
7	23	18
3	8	18
3	19	86
6	10	55
11	13	89
6	22	29
11	21	26
11	17	18
6	14	79
11	25	41
8	1	76
6	2	20
3	23	85
5	21	78
11	25	57
3	21	18
11	24	74
12	22	10
9	1	58
2	6	20
11	8	91
6	10	37
8	3	43
11	6	28
10	2	90
9	23	80
5	3	29
4	24	39
6	6	44
8	5	96
10	16	27
9	12	49
5	3	90
2	8	62
4	20	39
6	19	69
1	15	75
4	9	55
5	9	38
6	3	19
12	10	82
7	5	44
10	4	80
6	13	31
10	6	19
9	6	29
10	24	48
