50	100
1	13	10
6	2	22
2	18	31
8	21	53
1	5	92
4	19	49
7	14	61
4	19	31
1	12	27
11	11	48
7	25	38
5	13	46
4	3	20
7	10	44
11	18	40
9	19	100
10	17	72
11	22	38
10	20	56
4	15	44
6	21	72
7	15	100
3	11	88
8	12	62
4	20	66
2	8	43
10	22	59
4	17	98
7	1	83
10	15	70
2	14	44
2	17	39
11	19	20
11	6	15
1	2	74
3	5	41
5	9	76
11	7	72
9	15	74
7	7	83
9	21	84
3	8	98
9	3	25
11	7	79
9	22	54
2	12	40
11	9	46
1	18	89
2	23	19
4	8	94
3	11	78
7	18	25
9	14	65
4	9	92
5	22	35
11	3	50
2	24	65
11	6	89
7	1	31
1	23	14
7	6	80
1	16	37
2	15	14
2	5	95
4	24	55
8	22	74
1	14	44
7	13	94
10	18	76
12	9	45
