90	100
8	8	41
12	3	22
12	12	50
11	21	73
16	14	69
17	4	96
7	4	19
2	9	76
15	15	95
12	9	90
13	11	52
8	22	17
5	25	78
1	14	74
21	24	23
2	22	59
13	23	14
9	23	57
5	7	62
16	11	95
11	10	79
7	25	67
11	1	32
6	8	76
13	7	34
5	25	56
9	23	68
22	9	78
4	10	35
14	23	82
15	11	82
21	7	23
19	14	34
16	24	49
1	13	17
18	6	44
18	22	17
7	1	74
21	20	86
3	7	99
16	12	49
16	8	39
10	8	33
13	5	71
15	25	98
2	11	23
4	18	15
22	4	62
13	23	85
15	8	15
12	4	45
2	8	15
3	2	23
22	16	96
9	4	66
20	6	23
2	22	85
4	9	53
13	1	62
17	6	11
14	21	39
22	23	87
5	22	27
3	22	15
10	16	18
17	6	57
7	7	72
15	24	68
2	22	12
9	4	49
22	14	10
6	1	53
14	6	35
7	1	88
12	21	78
10	24	33
21	2	85
17	23	35
7	23	80
3	6	58
