90	100
14	6	64
8	20	48
19	16	100
15	10	57
17	16	97
19	1	80
13	8	99
2	10	80
14	10	37
5	5	67
6	4	30
2	24	72
21	16	63
14	5	24
11	11	86
9	14	32
6	4	99
2	10	36
2	25	15
6	19	98
7	7	86
9	13	23
12	23	24
5	24	58
5	12	32
5	24	37
12	15	59
4	18	39
6	2	66
12	8	14
8	7	78
16	22	16
2	18	14
13	13	48
9	22	66
7	9	18
9	10	100
16	14	49
8	7	81
6	5	93
4	3	28
2	25	25
22	21	66
14	25	48
17	24	54
7	12	35
13	2	21
8	11	38
18	16	42
13	9	14
8	10	60
7	4	93
5	4	29
19	16	69
21	19	44
7	15	88
7	8	90
6	19	47
5	14	18
17	21	64
16	25	54
18	1	84
21	8	77
4	7	89
10	1	81
19	13	73
12	16	66
2	25	92
14	16	83
18	10	96
10	10	53
21	15	78
16	3	78
15	20	24
6	13	96
5	23	88
8	5	35
4	9	83
16	15	59
4	15	67
20	8	56
3	19	71
16	22	65
18	25	33
1	25	38
2	13	50
22	21	24
21	15	61
20	11	64
2	21	31
5	21	64
13	2	45
19	5	90
5	1	16
2	11	67
3	22	35
19	15	72
18	2	41
2	18	12
6	9	67
