90	100
7	9	92
12	13	41
3	2	41
4	15	81
16	4	15
1	13	82
7	24	49
22	25	59
15	10	19
6	20	50
13	17	66
3	16	93
22	14	15
2	4	80
3	23	65
11	11	90
18	5	61
7	14	91
11	14	22
8	4	83
7	4	43
6	8	95
5	10	32
3	4	78
12	4	26
9	4	18
17	23	87
6	10	68
1	19	45
2	24	45
6	8	86
12	24	46
6	8	78
1	10	82
6	15	97
13	13	70
12	12	86
1	5	10
5	13	29
1	10	91
7	5	97
12	20	11
5	24	11
2	21	49
9	13	55
14	6	30
20	7	60
18	23	12
20	2	15
5	14	87
2	16	15
18	18	98
17	17	13
16	2	56
7	25	74
21	21	74
21	6	10
9	20	89
14	19	49
2	9	80
13	1	89
15	6	24
12	7	70
15	10	59
14	25	10
21	22	17
6	7	84
22	10	84
9	16	42
16	20	61
22	12	54
22	25	97
8	24	12
20	12	71
2	13	68
15	20	36
10	3	86
12	12	27
22	23	27
20	4	94
22	1	54
3	22	85
9	17	98
3	5	11
4	3	76
13	3	42
7	9	20
6	16	96
14	3	34
15	14	48
