90	100
5	2	52
20	13	37
1	4	14
3	14	39
4	3	98
20	10	90
15	11	35
16	20	100
10	8	29
16	15	23
13	9	92
10	21	23
6	18	70
16	20	34
14	8	32
16	8	95
12	10	99
22	17	68
17	7	40
1	19	19
18	17	16
7	19	79
15	20	48
9	25	22
15	25	58
9	25	24
15	1	35
20	24	53
11	17	91
12	13	46
17	9	49
4	15	62
6	2	76
4	19	14
8	1	98
13	20	18
1	21	81
13	1	11
10	1	69
16	5	79
2	11	66
20	20	97
16	2	31
4	1	21
8	20	34
19	15	58
14	10	78
18	20	33
17	19	66
11	22	75
12	12	91
19	18	82
22	9	60
3	7	27
11	25	31
13	21	100
14	17	18
17	18	81
19	22	18
11	6	81
