20	40
2	6	37
5	3	78
4	4	19
1	9	55
4	9	44
2	4	38
2	7	17
4	9	85
1	3	37
3	8	97
2	6	65
3	10	66
1	7	19
1	7	51
1	2	92
2	9	19
4	9	16
2	6	50
1	5	41
1	10	55
3	8	58
4	6	51
3	8	24
4	2	11
5	7	52
5	2	71
4	5	71
2	9	51
1	1	81
3	1	93
1	3	55
2	10	77
3	4	55
2	4	11
4	8	38
3	1	35
1	6	78
1	9	58
4	4	18
2	8	66
5	5	44
4	8	84
3	3	78
3	5	10
2	8	75
5	2	30
1	8	98
1	5	46
5	8	99
5	9	52
4	5	72
4	5	46
1	9	72
2	7	36
2	9	34
3	10	94
4	3	24
1	4	61
5	6	62
2	4	30
1	1	37
3	3	42
4	7	41
5	9	30
1	9	65
1	7	46
4	3	81
4	8	35
4	2	66
2	5	77
