20	40
4	3	32
1	5	62
1	10	78
4	6	49
1	7	78
5	5	26
1	4	75
3	7	78
3	7	63
3	6	86
2	5	74
4	8	82
5	8	21
1	3	24
2	5	53
2	7	23
1	1	23
2	3	23
2	8	24
4	3	57
1	5	45
4	7	12
5	8	84
3	6	24
1	3	82
3	10	36
2	5	85
4	4	67
2	2	15
4	9	21
5	5	52
5	7	54
1	6	60
3	5	35
3	6	59
1	10	56
2	8	90
3	1	56
3	8	24
4	10	33
5	2	47
5	4	100
3	5	72
5	8	16
3	5	50
3	4	25
2	5	19
1	3	10
1	10	42
3	7	88
1	10	19
4	5	16
4	10	88
1	5	96
1	6	18
3	1	31
2	8	61
5	8	76
2	1	57
3	6	79
5	10	85
4	8	29
4	9	21
1	6	78
3	7	38
1	7	77
5	3	41
4	10	30
5	6	61
2	3	80
1	7	22
1	10	80
4	10	30
2	1	94
5	8	13
5	2	94
4	7	98
5	2	26
4	5	20
1	1	54
