20	40
4	5	81
1	3	55
1	1	91
2	1	56
3	5	81
1	1	65
1	2	36
4	1	45
4	7	18
1	9	90
2	1	96
5	6	91
4	4	53
3	10	84
1	4	62
1	8	54
4	4	32
5	4	22
5	3	50
1	4	58
3	2	31
3	3	32
1	3	49
5	6	39
2	10	47
1	6	51
4	8	63
5	1	95
1	5	85
4	5	44
2	7	60
4	5	52
2	8	93
2	3	54
1	8	26
5	9	45
2	2	66
1	4	74
2	4	63
5	5	76
1	4	88
1	3	20
5	8	54
1	2	94
5	7	39
2	5	87
2	10	69
2	9	55
5	1	68
5	3	35
5	7	36
5	2	56
3	9	60
3	2	27
1	4	52
1	5	44
1	5	44
4	10	88
4	8	75
1	6	89
4	9	94
5	10	32
5	2	47
5	6	17
1	7	90
3	3	22
2	8	74
3	5	43
2	1	30
1	8	18
5	8	55
5	1	48
5	3	78
2	1	66
5	10	52
2	2	97
1	6	44
3	8	64
2	4	23
3	1	99
2	6	87
5	2	18
3	9	18
4	7	31
1	7	97
5	5	57
3	5	40
4	3	21
2	6	87
2	8	28
1	5	26
2	2	92
3	4	36
3	9	68
3	10	76
1	10	63
4	9	40
5	7	90
2	2	42
1	3	25
