20	40
1	2	72
1	10	52
4	9	15
5	1	98
4	1	12
4	4	71
4	8	62
3	4	13
2	8	98
1	10	91
3	4	94
2	10	35
2	10	37
5	2	92
2	1	100
2	9	58
1	5	75
5	7	32
1	8	11
4	4	33
5	2	79
5	10	58
2	1	11
1	8	61
3	10	37
5	7	32
1	10	78
4	7	59
5	1	63
5	8	16
2	5	67
3	7	35
4	3	14
1	1	93
1	9	63
3	9	81
1	2	22
1	1	13
2	9	70
5	5	81
4	5	43
4	7	26
1	10	88
5	9	93
1	1	31
4	6	42
1	10	81
5	2	93
3	2	94
5	6	52
5	10	86
1	3	43
3	8	86
5	8	60
4	10	74
2	10	63
1	7	77
5	5	59
3	1	96
1	4	74
5	3	98
4	6	85
1	1	88
3	1	45
2	10	55
1	2	61
1	6	62
5	4	95
4	8	40
4	6	99
1	10	70
4	3	51
4	8	50
2	4	41
2	1	22
4	1	12
5	5	21
1	2	47
1	4	100
2	1	89
1	5	25
1	4	90
2	10	37
5	10	55
2	2	14
3	4	36
1	4	36
1	6	64
1	2	64
5	1	62
