80	100
11	14	36
16	18	49
19	2	46
20	20	18
12	7	41
16	18	95
14	24	64
10	8	70
10	20	35
3	13	29
4	20	45
20	2	80
17	15	87
17	5	42
1	18	73
5	23	89
3	23	80
5	19	14
6	6	80
19	23	26
9	10	40
17	2	100
15	13	90
16	9	40
12	17	11
5	10	11
13	15	91
18	14	96
16	14	19
8	1	58
18	9	66
14	10	91
18	13	16
19	23	36
5	11	91
20	6	32
9	20	63
14	7	18
18	6	27
13	10	35
3	25	50
11	6	54
9	25	39
18	25	97
6	2	81
13	19	68
14	15	98
15	15	47
17	7	65
12	9	49
11	24	89
19	21	14
14	18	90
20	18	83
19	22	92
10	21	90
6	9	82
12	5	39
14	16	60
17	15	10
