80	100
7	10	61
4	3	82
4	1	18
5	3	83
3	1	96
3	5	89
8	5	73
9	7	51
4	2	12
6	5	41
7	5	58
7	7	37
1	10	25
3	6	22
1	10	40
7	7	76
10	2	57
9	7	10
5	3	64
10	3	35
8	2	79
5	7	13
10	9	86
2	8	99
1	3	46
10	9	75
10	2	54
6	3	59
1	4	71
8	8	90
6	4	31
10	8	56
4	7	21
1	1	100
9	5	32
2	7	99
4	6	33
9	3	96
8	7	10
7	3	34
4	9	94
8	6	19
5	6	76
4	9	94
9	10	21
6	10	77
9	2	59
3	6	49
5	7	16
8	6	41
4	9	89
6	6	76
4	3	10
3	6	100
3	10	98
4	2	83
3	5	81
1	6	33
5	3	23
7	8	95
8	4	43
7	7	72
3	1	83
4	1	79
7	4	32
1	4	11
1	10	32
8	4	88
1	1	59
8	4	47
