90	90
11	1	52
22	1	53
21	15	21
15	15	72
18	14	78
8	4	60
6	13	92
9	7	30
6	18	63
11	2	45
8	14	19
11	21	27
10	18	56
18	21	25
17	8	34
5	6	62
1	19	70
20	12	99
2	2	50
7	19	59
3	8	34
17	21	28
11	6	97
13	8	22
1	6	76
14	4	16
17	12	16
18	4	64
19	13	86
14	11	14
20	22	100
16	5	35
17	3	66
16	16	91
20	21	55
5	19	51
4	13	21
9	11	74
3	12	56
9	8	37
10	4	92
4	15	69
19	4	36
18	6	62
18	6	96
1	20	71
8	9	83
1	22	100
8	20	85
8	10	93
13	18	29
13	10	27
15	21	63
2	17	86
6	12	95
20	11	29
21	16	79
10	10	64
12	3	30
10	21	69
5	16	67
8	14	69
13	5	25
18	3	67
18	5	82
17	18	22
9	16	34
4	4	40
4	20	90
2	20	84
3	15	98
14	14	60
13	1	46
12	3	68
9	2	28
20	16	33
5	10	29
19	16	56
5	22	55
8	4	54
11	15	61
19	21	73
19	14	41
20	17	42
2	8	17
1	5	43
14	11	65
1	10	41
22	11	81
18	5	30
