90	90
8	13	70
15	5	80
2	17	51
2	6	47
4	3	83
11	14	78
3	3	44
13	11	82
16	10	40
14	13	52
6	6	95
14	12	72
3	10	37
13	10	18
1	15	17
14	7	29
15	14	64
9	2	44
14	5	62
19	18	48
21	22	84
6	17	43
3	15	91
12	15	56
14	20	56
21	16	24
21	11	39
22	4	89
3	16	79
4	19	99
8	11	80
12	21	97
13	21	35
18	1	22
4	4	74
6	4	13
2	20	23
13	11	23
8	20	98
3	13	73
16	22	26
6	15	42
3	19	54
8	19	55
4	13	72
2	14	36
1	22	74
18	5	21
22	13	53
3	11	94
15	12	63
13	7	41
9	7	91
18	21	54
9	20	92
9	22	62
1	10	15
17	14	60
21	12	48
4	21	60
5	14	57
21	11	62
16	1	27
7	14	89
3	3	67
11	19	14
18	14	75
18	4	97
8	1	88
12	6	69
