120	130
4	8	36
6	5	37
9	5	18
7	4	21
9	6	30
6	2	18
6	10	100
4	8	11
2	9	95
8	1	81
1	2	38
4	5	11
4	10	44
10	6	34
2	2	92
1	7	11
10	1	77
8	6	36
6	4	83
6	2	87
9	9	35
1	3	76
10	2	97
9	8	17
10	5	74
2	1	57
3	1	86
7	6	13
5	6	59
7	5	65
7	10	52
10	4	45
8	10	60
7	1	81
2	3	14
7	8	21
5	7	18
5	8	12
1	9	20
10	1	95
3	5	16
2	3	38
1	3	18
9	7	92
8	10	67
9	3	54
5	5	86
1	6	89
4	1	76
7	4	81
2	2	66
9	8	73
5	10	96
2	3	78
1	6	30
5	4	67
4	1	58
4	7	53
9	1	85
4	3	22
3	4	86
7	10	97
8	4	43
7	7	39
9	7	11
8	10	61
1	3	80
5	9	57
10	1	56
8	10	45
