120	130
7	2	69
2	1	77
6	4	71
3	6	21
2	10	52
8	4	11
9	1	36
1	10	77
3	6	57
1	7	45
6	2	47
3	2	99
7	7	15
9	4	60
6	3	29
8	1	90
2	2	79
7	10	20
1	7	78
2	4	29
5	8	90
2	7	54
6	1	75
10	6	13
5	5	10
7	3	99
8	9	50
1	2	89
8	10	63
3	3	100
10	3	35
4	8	16
8	3	39
1	4	82
7	4	10
3	1	54
4	6	38
10	6	95
10	4	31
10	10	27
6	5	60
7	1	84
7	8	87
2	7	46
4	1	15
2	10	62
7	1	82
1	5	56
2	8	33
6	5	25
3	2	95
9	4	63
4	1	47
10	9	86
8	6	23
6	10	62
2	5	34
6	10	27
2	9	83
8	4	82
7	6	13
10	2	81
4	8	73
8	5	65
5	10	12
10	3	29
8	6	65
10	1	63
5	10	81
10	6	56
1	5	68
1	8	27
4	1	78
1	4	42
6	9	91
5	10	70
2	4	79
3	5	35
1	5	14
6	9	27
