70	70
8	16	20
17	1	82
14	2	24
13	8	100
7	15	12
8	1	65
11	3	88
5	4	45
8	9	81
5	9	74
13	12	29
13	10	94
3	3	93
12	17	40
15	10	45
13	9	99
5	12	40
11	7	38
8	13	100
16	17	33
2	13	32
4	10	35
14	10	93
8	11	91
16	6	29
8	7	15
10	12	24
6	10	83
7	9	14
9	3	72
13	14	38
5	12	96
2	5	99
17	12	92
10	17	19
13	16	34
8	14	43
5	14	83
6	17	44
1	3	91
17	12	66
7	14	23
17	8	39
8	2	47
9	11	52
10	10	44
7	15	78
8	16	71
12	10	84
14	16	46
7	6	93
1	1	81
6	2	37
2	6	13
16	8	79
2	4	55
15	17	30
3	2	77
7	11	44
2	2	43
16	8	27
13	11	13
4	5	84
7	5	36
7	3	53
10	2	55
12	13	36
11	13	99
9	1	36
5	16	55
16	2	52
13	9	95
16	7	91
8	17	73
10	14	69
6	14	73
3	15	96
17	1	53
4	17	26
2	9	13
6	6	28
6	16	54
12	4	19
15	1	39
10	16	93
17	10	80
4	11	87
3	5	93
11	5	48
7	16	55
