70	70
9	7	95
10	5	76
3	4	51
4	11	42
13	12	87
9	11	23
16	3	76
11	2	94
16	3	64
1	8	80
7	8	75
4	1	73
2	15	19
8	4	82
3	8	52
4	9	36
16	5	58
16	17	73
12	9	88
6	7	66
4	6	78
15	11	79
7	14	61
13	4	12
6	7	90
8	14	81
2	8	32
16	3	44
12	5	17
11	1	83
12	1	70
15	11	12
13	9	66
15	1	32
4	6	15
5	5	33
3	2	61
12	14	14
16	12	47
8	5	24
13	11	84
14	8	81
14	15	29
8	16	46
10	11	72
3	7	53
2	6	63
1	10	54
5	6	27
9	13	42
7	13	49
1	11	69
16	17	19
11	3	28
9	5	44
5	9	32
10	8	13
5	5	78
10	9	70
14	10	68
5	7	49
10	2	77
12	12	26
15	16	49
6	6	37
13	8	79
14	16	78
5	2	75
1	16	42
15	5	92
2	6	11
14	16	42
9	11	48
4	1	75
15	12	82
15	17	76
15	17	69
15	11	98
11	4	72
6	2	23
15	17	71
16	6	43
14	4	87
12	3	74
14	15	74
17	15	92
7	6	61
15	2	27
17	8	96
14	1	87
5	10	20
10	16	25
9	6	27
10	3	40
16	14	72
16	15	81
16	15	86
16	5	83
15	16	29
17	4	95
