70	70
8	6	80
13	1	61
16	9	57
7	14	46
6	8	54
10	8	77
13	4	45
8	4	92
10	9	36
12	8	14
15	15	71
1	7	13
3	13	18
14	16	37
4	4	43
16	3	100
6	2	84
1	9	95
7	13	83
1	3	74
6	13	67
1	10	40
1	1	40
3	6	38
8	14	91
17	2	16
1	1	93
6	15	15
6	8	11
5	6	15
4	14	92
13	13	73
9	7	37
8	10	38
3	2	66
4	3	67
4	8	85
13	7	23
7	10	83
9	16	11
5	16	99
16	3	74
5	5	29
5	10	25
17	6	94
7	16	66
10	8	30
17	13	10
3	12	23
12	17	36
6	2	69
8	7	85
10	3	40
6	10	86
8	10	26
1	6	95
9	9	78
17	15	93
5	10	13
15	11	24
7	17	78
9	1	78
6	4	100
11	15	10
14	7	38
8	15	41
1	9	69
12	1	90
15	10	17
17	16	62
