70	70
8	16	69
5	13	52
3	8	71
5	14	17
3	3	43
13	5	58
1	4	12
3	12	45
1	2	25
6	2	86
7	7	70
2	8	26
15	2	84
11	11	100
9	5	78
6	7	23
12	15	97
12	5	57
11	13	16
3	7	87
1	7	51
11	2	77
13	9	74
3	15	76
8	16	51
17	14	94
16	4	55
4	16	99
2	5	22
17	11	24
15	6	91
3	12	14
9	7	98
4	8	29
17	5	92
17	15	74
9	10	46
5	10	97
15	13	82
10	13	17
13	6	51
15	7	73
13	14	12
5	6	31
13	5	47
1	13	31
5	11	11
6	10	42
2	10	40
12	16	41
12	10	48
4	10	11
15	14	83
10	14	35
11	14	61
8	5	51
12	7	65
13	13	13
2	15	14
13	17	59
10	14	29
9	15	19
11	10	77
14	3	68
12	7	53
17	10	36
1	15	78
7	8	40
1	7	68
17	17	67
16	10	39
5	9	91
14	15	81
1	14	76
9	6	96
2	16	70
16	1	44
10	11	70
7	14	22
5	4	44
