100	90
13	10	64
2	22	38
19	3	92
18	11	48
14	12	82
12	4	87
3	12	92
11	5	26
4	10	92
18	7	16
5	20	93
14	3	76
25	16	51
6	12	57
3	8	65
24	4	81
9	14	74
20	7	86
4	20	56
19	6	41
23	3	96
6	9	39
23	9	81
11	21	76
13	17	17
1	18	44
3	14	100
5	4	30
16	14	55
20	20	11
22	10	23
17	8	37
1	19	68
1	9	14
4	19	31
21	19	13
15	11	50
8	14	47
12	13	58
11	21	48
10	8	40
7	2	33
24	6	96
20	6	96
25	18	21
4	3	77
11	2	13
24	20	69
15	6	46
8	21	62
20	18	83
24	17	53
22	18	25
20	8	34
12	14	39
11	18	33
16	17	46
13	4	75
12	8	59
13	13	86
