100	90
14	19	89
12	19	86
3	14	45
6	3	93
13	22	76
5	17	47
21	8	24
21	21	31
17	8	86
6	17	43
6	6	82
10	2	46
12	21	63
8	4	84
12	9	70
10	6	35
18	5	20
12	8	54
4	6	58
1	2	82
19	6	24
23	21	39
13	22	87
17	11	32
10	10	27
13	13	35
13	7	78
15	2	55
6	8	93
25	3	50
3	16	58
5	11	50
3	9	82
7	19	54
25	11	62
6	4	24
10	2	16
19	10	96
1	13	55
15	4	71
16	6	29
15	4	47
15	3	42
8	5	84
8	18	62
4	21	14
10	6	99
13	5	97
24	3	24
5	15	74
21	6	64
12	21	26
18	19	90
14	16	78
24	18	12
22	6	92
14	12	34
17	8	14
25	2	90
16	1	31
18	9	91
19	13	30
6	11	40
11	9	78
3	13	47
5	6	22
11	11	32
12	22	27
16	19	29
9	11	57
8	1	48
16	14	32
1	20	48
14	1	72
7	12	67
20	21	90
6	1	12
18	13	74
2	6	27
7	1	95
19	14	48
16	1	33
6	20	19
24	9	79
17	13	61
19	6	62
16	20	12
24	20	12
13	1	34
13	17	46
25	4	52
15	22	82
8	5	76
4	15	17
5	8	48
13	7	96
25	17	55
20	22	86
8	5	95
3	17	97
