100	90
10	2	21
7	16	30
7	1	34
10	3	99
3	18	23
23	15	85
4	10	77
5	4	16
14	3	11
17	22	60
6	4	11
11	20	42
15	21	98
21	20	25
13	12	55
2	19	57
3	20	44
23	17	26
5	7	72
16	8	56
2	8	33
17	9	39
15	22	15
19	12	15
5	8	29
23	7	79
15	6	51
25	18	85
1	16	96
16	9	70
13	6	72
20	8	24
11	4	43
9	14	45
4	22	15
1	4	94
20	14	81
8	18	31
13	11	89
10	3	86
1	18	45
1	13	28
6	3	35
16	17	84
11	10	21
4	17	26
12	20	72
23	15	28
12	1	33
5	22	10
18	6	15
19	5	23
23	3	95
16	19	59
11	19	95
20	10	37
14	8	83
9	14	96
9	12	25
9	15	18
23	16	36
11	17	29
4	6	39
3	21	98
10	8	52
7	7	37
25	9	34
7	2	56
15	14	92
2	14	24
18	3	84
18	15	50
3	22	19
10	17	64
24	8	66
23	20	67
7	17	75
22	13	29
2	13	25
16	1	84
19	5	33
2	4	63
18	22	80
7	16	78
13	20	14
7	12	62
5	2	20
4	15	24
2	5	54
18	5	61
