200	200
10	5	26
2	10	91
6	10	81
8	8	15
10	3	27
8	3	89
8	9	49
9	7	97
3	6	83
6	3	86
4	3	93
3	1	57
7	1	31
4	6	46
8	7	86
1	1	80
5	8	60
9	9	54
8	7	19
1	3	27
10	5	36
4	10	60
6	8	47
2	3	16
10	5	55
7	7	69
1	5	72
4	4	78
5	9	84
8	6	85
6	4	99
3	1	76
1	8	88
3	4	87
9	5	61
4	7	30
4	8	73
6	5	17
8	1	16
4	9	95
7	7	63
7	6	18
2	5	57
9	6	12
7	2	50
6	4	48
7	3	58
5	2	55
1	9	85
4	1	91
2	6	41
5	6	63
10	5	77
8	1	85
5	8	58
4	4	45
4	6	69
2	1	71
5	10	30
7	7	28
8	4	88
8	9	64
2	3	95
4	2	89
10	6	43
7	4	88
10	2	27
5	6	73
5	10	70
6	6	20
2	2	97
2	6	13
5	3	13
8	5	13
3	8	74
7	2	83
2	5	49
1	1	50
5	2	60
4	1	57
