200	200
38	49	47
46	17	58
42	50	57
10	6	91
1	15	84
20	19	78
30	25	64
9	26	56
37	2	44
49	19	45
43	15	69
50	29	29
3	37	98
37	17	28
38	30	30
38	28	99
11	8	37
13	34	38
44	1	58
44	50	44
18	11	56
29	37	21
5	15	16
37	27	82
23	39	52
1	32	99
19	11	67
13	12	25
45	47	53
42	15	51
5	46	95
41	25	36
14	24	35
49	6	72
35	50	48
9	34	62
48	7	87
4	9	80
8	33	70
31	26	81
22	11	21
13	32	52
11	50	94
2	34	81
4	9	71
43	25	14
13	17	38
33	26	46
17	42	17
45	30	62
45	18	22
32	20	36
19	28	97
46	37	44
43	1	65
18	26	54
2	5	78
29	4	35
3	29	41
36	35	48
31	34	11
39	37	33
43	32	78
32	38	12
39	44	18
17	50	59
36	4	53
1	46	70
36	16	97
2	32	21
