200	200
20	33	56
23	7	42
18	42	18
22	30	97
37	17	17
37	46	58
14	29	20
3	45	57
27	2	34
9	38	73
20	35	40
23	3	81
50	43	56
44	43	51
15	1	48
23	35	89
27	42	97
11	38	60
39	29	15
28	37	67
3	4	96
16	47	78
44	22	36
19	27	75
34	3	43
6	12	91
47	6	49
2	8	19
45	16	20
49	26	75
5	1	80
43	46	40
25	22	63
39	16	98
42	12	51
12	50	30
37	23	35
20	45	26
4	33	99
4	44	89
46	12	74
33	13	41
38	38	10
18	37	57
20	19	25
46	29	47
40	5	63
18	3	75
43	24	29
29	12	79
35	11	98
49	1	48
27	13	38
20	20	38
12	22	28
6	13	31
40	41	26
21	18	30
6	22	24
45	23	10
6	12	11
47	35	61
13	33	42
1	42	97
16	24	48
42	30	30
36	5	31
20	41	31
39	5	20
43	24	54
39	27	62
50	6	32
41	2	52
45	16	40
6	33	27
39	49	96
18	36	97
18	15	78
2	4	12
47	13	27
19	21	57
27	24	40
2	40	45
8	3	82
6	12	78
15	23	33
29	13	15
27	2	43
27	16	16
11	21	21
