200	200
31	27	93
4	28	93
49	26	19
21	27	26
23	23	20
12	16	77
17	32	71
33	34	30
32	45	58
9	9	44
25	19	67
37	21	47
42	21	80
7	17	28
20	41	23
30	43	70
49	9	42
49	34	18
2	33	37
4	25	19
31	18	31
47	35	89
29	29	10
22	25	12
2	21	58
9	14	33
1	24	69
10	36	12
10	35	18
32	42	34
49	4	68
32	16	27
25	20	17
15	20	19
46	41	30
40	14	78
33	18	87
43	17	74
45	44	48
46	44	13
9	17	80
41	21	48
35	49	82
23	48	78
4	26	73
9	5	20
44	14	66
10	25	77
32	34	20
44	20	56
40	6	85
27	47	18
48	50	16
24	35	69
37	45	49
22	4	50
49	25	21
43	5	39
36	21	91
22	39	57
25	16	73
45	29	87
20	23	74
5	35	80
14	31	28
37	25	16
39	3	30
39	33	87
26	13	78
47	5	47
31	27	47
14	22	49
33	50	60
31	49	18
8	6	29
15	8	27
1	48	29
30	40	42
34	6	77
33	32	76
40	8	12
18	2	33
15	45	20
43	18	77
40	27	18
19	31	54
45	10	51
6	18	15
19	2	81
14	16	12
34	15	10
30	43	65
45	35	49
17	18	41
7	37	61
23	17	88
9	20	75
5	33	24
31	12	64
28	21	98
