200	200
16	2	22
7	14	45
18	38	11
45	31	93
16	31	81
13	39	13
42	46	78
20	30	92
3	22	78
13	32	26
28	26	91
31	41	15
37	38	30
15	2	49
47	44	93
25	25	14
10	41	53
29	49	75
4	9	26
12	26	70
25	18	40
1	10	78
42	42	68
14	5	100
21	34	12
34	46	23
45	26	79
15	47	31
31	23	93
14	33	94
31	1	53
39	2	14
37	27	32
24	34	66
3	48	48
3	3	74
33	8	54
10	43	98
12	42	56
23	22	72
34	41	89
47	9	16
47	19	73
20	9	98
48	23	81
33	3	13
44	4	82
38	13	20
50	33	59
16	27	11
41	18	78
31	17	48
2	28	45
30	39	10
30	35	78
36	31	94
28	34	31
42	21	91
47	15	20
7	36	74
