30	40
5	7	96
1	5	58
2	10	34
4	4	61
2	8	34
1	2	78
5	7	64
4	6	50
6	8	31
5	2	94
6	9	41
2	1	24
5	1	15
7	7	17
2	9	51
3	1	83
4	4	50
4	8	79
1	7	14
1	9	93
2	4	67
6	6	86
7	8	51
7	10	39
6	9	90
7	1	40
5	3	39
6	10	80
5	10	17
2	4	81
5	4	62
2	8	41
1	9	65
7	5	17
3	5	50
2	8	51
4	10	35
5	3	10
5	3	14
1	3	95
6	10	81
1	4	62
5	9	18
3	1	42
4	2	52
6	6	74
7	1	18
2	2	37
1	5	31
7	10	93
7	4	18
5	1	47
7	3	66
1	8	39
1	9	17
6	1	77
7	6	84
5	8	22
6	5	40
1	2	95
3	10	66
7	7	61
2	5	99
2	10	89
1	5	46
4	10	49
4	7	11
5	10	88
5	5	15
7	4	47
5	7	98
7	4	71
6	9	26
7	8	44
7	10	19
4	5	74
6	5	68
6	10	52
5	2	65
4	8	54
6	9	79
4	3	79
6	10	95
7	4	97
3	5	45
5	3	50
5	7	35
1	2	14
3	4	46
4	8	90
