30	40
4	7	74
4	7	95
1	9	74
5	6	69
1	5	87
2	5	75
1	6	48
7	6	24
1	8	93
3	4	13
1	3	30
6	5	70
5	9	57
4	9	47
4	5	71
3	10	81
2	6	82
6	9	87
4	9	54
7	7	82
1	4	99
5	5	21
6	8	97
4	9	85
7	5	80
1	10	33
2	5	96
7	9	61
2	2	73
6	10	31
3	10	55
4	9	68
1	9	62
4	3	82
3	1	58
2	9	19
5	6	18
7	1	62
2	5	92
3	10	44
2	2	53
6	6	54
3	9	12
1	2	54
1	3	29
2	5	30
3	1	50
6	1	31
5	3	81
7	6	26
5	10	98
6	9	96
4	5	38
5	4	58
2	6	96
1	3	100
5	9	24
5	8	65
7	1	35
2	7	13
6	2	24
6	9	19
4	5	39
3	10	68
7	4	12
1	2	77
4	10	61
4	4	19
2	9	97
5	6	86
