100	80
15	16	20
20	17	31
7	20	24
11	20	89
14	10	38
17	13	97
14	16	90
3	5	48
4	10	68
1	8	38
14	10	96
15	18	33
10	8	100
5	17	50
14	11	69
16	9	75
9	19	38
25	17	47
23	20	51
7	10	91
19	13	66
12	7	20
25	8	20
1	4	95
7	5	14
11	15	16
1	14	83
6	17	38
22	5	42
4	16	99
25	13	35
7	9	39
17	3	34
20	1	35
12	2	75
2	8	58
11	2	73
18	7	63
17	14	46
13	7	71
10	7	92
2	1	42
6	1	18
8	8	42
16	13	92
11	9	28
9	11	53
5	5	63
6	2	58
14	7	84
1	4	19
20	11	100
20	5	51
11	12	30
2	2	45
1	6	67
18	4	81
4	18	81
7	19	64
16	9	24
21	13	23
2	8	66
15	7	12
18	15	88
1	4	58
23	11	94
23	10	45
4	7	71
20	8	33
24	20	47
