100	80
23	4	75
15	16	40
25	11	70
18	10	14
1	14	73
3	12	44
6	20	24
13	10	96
10	14	95
18	5	35
13	10	16
25	3	16
3	2	54
11	15	16
23	7	75
17	8	42
22	10	30
25	14	62
9	6	29
21	8	26
15	20	80
10	19	36
5	6	88
8	12	87
7	4	26
6	13	85
15	5	19
6	10	16
25	16	45
23	19	14
16	19	84
10	18	29
1	11	72
20	1	36
23	5	48
18	6	26
13	19	13
2	1	99
11	4	15
3	17	27
8	7	70
3	12	89
15	2	93
8	12	97
4	1	65
17	6	74
15	15	31
22	14	53
5	11	85
7	5	86
23	1	30
10	5	82
3	1	53
13	8	87
2	15	26
18	11	72
6	2	96
15	18	21
10	14	82
10	16	87
24	19	89
2	2	89
22	18	97
15	12	37
8	17	91
12	7	25
22	14	77
10	8	86
14	2	91
22	11	10
16	18	64
22	16	49
10	10	77
23	15	83
1	12	32
13	2	72
4	18	59
4	18	28
8	2	80
16	20	74
15	4	22
13	3	13
9	15	100
6	8	93
14	12	53
20	18	85
13	10	51
24	16	26
5	15	76
24	8	71
