100	80
22	3	34
20	5	60
13	13	20
18	16	50
2	13	78
5	20	36
22	14	90
9	9	71
5	13	59
21	7	53
6	5	52
8	7	100
23	9	27
13	4	90
22	20	13
9	11	66
21	20	43
12	1	73
17	14	64
7	11	80
9	10	46
2	14	87
19	12	12
6	13	30
20	6	78
22	11	54
11	19	87
14	10	67
10	7	34
21	3	21
10	13	23
18	9	57
21	10	10
14	1	54
6	16	46
6	19	47
19	16	12
21	19	31
1	16	71
14	11	18
20	13	22
21	19	78
7	3	12
14	20	53
1	4	15
20	7	95
24	7	30
13	3	95
25	7	56
24	15	62
15	10	73
10	2	17
8	2	34
2	11	40
23	15	47
7	18	91
18	20	40
8	5	32
11	9	56
5	3	65
17	18	27
8	15	23
14	16	19
4	5	94
4	10	30
7	8	76
17	18	89
5	14	68
20	20	27
1	20	85
6	19	89
3	19	10
2	7	19
18	19	31
3	5	86
11	19	27
8	16	43
24	19	60
7	5	54
15	14	92
