100	80
13	5	56
6	9	14
5	3	17
1	13	80
22	2	88
15	9	33
19	16	30
14	15	71
24	13	37
24	3	76
4	18	15
4	8	56
10	14	12
11	20	66
25	6	15
20	9	61
20	16	84
15	1	36
18	20	19
10	8	48
18	3	46
13	19	80
2	7	35
16	6	72
15	18	69
19	16	66
17	8	65
19	3	83
10	19	82
5	3	86
12	13	83
19	16	58
21	8	16
1	20	48
3	19	14
20	16	95
1	15	42
11	16	54
17	11	71
20	8	50
22	18	29
1	4	44
16	9	80
7	15	42
18	5	51
24	13	18
21	3	75
16	14	92
24	20	97
25	18	31
1	4	21
1	5	43
19	19	90
18	15	54
5	20	92
25	11	45
9	7	88
22	9	61
10	7	100
7	10	94
16	7	67
2	3	56
6	6	75
1	9	15
8	2	21
11	2	82
15	6	64
12	18	82
23	12	37
1	2	80
18	12	69
20	18	66
25	14	34
2	3	38
25	15	23
3	7	67
19	12	54
20	2	75
19	13	42
12	12	68
6	16	94
22	1	35
25	17	97
15	5	59
2	11	97
23	14	31
23	16	29
9	14	74
18	11	85
16	13	20
23	8	55
3	14	100
19	17	72
21	4	15
14	17	25
8	15	74
9	10	31
4	18	38
10	1	18
13	10	38
