20	30
2	2	31
3	4	11
5	1	87
1	3	79
4	5	52
4	3	67
5	1	90
5	6	99
4	6	28
5	2	60
1	4	82
1	5	56
2	7	50
5	6	13
2	2	73
5	2	32
3	4	60
3	1	34
3	6	79
3	7	52
4	3	54
1	5	90
5	7	27
2	5	27
4	3	29
3	1	73
1	7	37
2	3	31
4	2	85
4	6	20
3	6	23
2	4	34
4	5	93
1	4	73
1	2	22
5	5	100
3	2	81
1	7	88
5	7	61
2	6	46
1	5	90
4	3	37
1	2	58
5	7	63
5	3	90
1	3	80
5	3	76
4	2	66
5	4	75
5	2	60
5	1	62
1	5	17
1	5	13
3	3	18
4	6	67
1	6	90
1	6	34
3	4	51
5	4	47
1	6	55
4	6	83
2	1	58
3	7	55
5	3	94
3	2	73
5	5	27
3	2	78
2	5	31
4	5	57
1	6	30
2	2	78
2	6	68
5	5	27
4	1	30
4	7	28
4	3	86
4	6	88
1	5	38
1	7	40
2	4	50
5	6	68
4	5	87
2	6	82
4	3	74
5	1	37
4	4	77
1	6	56
5	4	66
1	3	59
4	6	40
