20	30
4	9	42
7	6	54
6	8	55
1	2	79
7	4	75
7	6	67
9	1	69
4	3	75
2	10	12
6	9	48
6	1	24
3	2	81
6	4	35
8	8	98
1	9	47
6	10	25
6	3	56
5	8	97
5	7	97
5	10	20
6	10	17
2	4	66
9	5	55
5	8	63
4	6	16
6	1	34
6	7	50
7	1	30
7	1	29
5	4	16
4	3	68
4	7	96
8	9	29
6	6	74
4	5	63
4	8	30
10	6	52
4	8	88
7	1	85
3	5	85
8	9	64
2	6	75
4	10	26
7	4	83
9	6	42
10	5	82
3	5	52
1	5	88
9	4	13
3	4	90
8	9	64
3	3	76
8	10	50
7	1	10
9	1	80
6	10	34
1	2	89
6	10	70
5	8	71
8	5	36
1	8	85
10	1	34
10	2	60
2	3	50
8	10	50
8	2	53
3	4	63
5	1	53
5	2	64
5	8	79
3	5	77
4	10	18
7	7	49
7	10	34
7	4	72
6	9	65
2	1	45
5	9	79
10	10	44
9	8	35
