20	30
3	5	85
2	4	71
2	4	56
1	5	96
2	4	78
2	7	17
1	5	58
2	2	60
2	5	78
4	3	14
5	3	80
2	1	73
2	6	24
4	7	57
2	7	46
3	1	23
1	6	15
1	3	35
5	6	74
3	4	75
5	6	79
4	3	68
2	3	36
4	5	57
5	4	20
1	5	79
3	3	16
2	3	54
2	6	14
1	4	19
2	4	88
2	5	49
2	3	57
4	7	95
5	3	22
3	3	71
5	1	63
1	5	10
1	2	51
5	2	10
5	1	28
2	7	100
4	2	98
1	2	35
3	3	77
2	4	28
4	6	49
2	5	91
2	1	58
1	2	18
2	5	73
5	7	16
4	4	82
2	3	84
5	2	79
1	4	76
3	3	83
2	5	53
1	7	15
3	3	90
3	5	75
1	1	97
1	4	14
2	5	44
5	6	47
3	2	60
4	3	49
3	2	77
2	2	85
4	6	91
5	5	83
4	3	71
4	2	70
5	7	99
3	3	64
1	2	32
4	3	13
5	1	69
4	7	76
3	2	89
4	6	20
2	5	49
5	7	89
3	5	31
3	1	70
5	1	81
4	7	37
4	2	47
4	6	28
3	6	41
2	2	10
4	6	30
1	2	81
2	2	48
4	3	47
5	2	54
2	4	62
3	3	19
4	6	75
4	1	23
