100	150
24	12	79
3	2	74
1	37	64
2	27	93
14	11	79
19	9	60
7	18	32
11	9	85
13	32	19
21	8	40
19	25	46
11	2	52
11	9	49
21	32	44
22	35	48
18	28	41
12	29	36
22	3	72
5	9	46
2	15	16
20	26	83
21	31	33
25	37	37
13	34	92
16	5	38
11	15	67
15	10	71
21	34	40
9	4	33
5	20	35
19	26	31
23	11	25
18	27	39
16	4	80
1	5	96
12	34	55
21	34	51
3	18	66
10	27	21
3	25	55
20	30	96
22	3	61
8	11	61
23	10	57
8	30	36
7	9	98
4	29	32
14	33	99
6	18	26
1	32	79
7	30	77
22	18	73
6	22	96
20	11	48
14	3	93
20	31	41
5	4	23
19	9	45
10	28	71
24	27	34
7	30	32
12	2	21
23	6	78
15	35	88
10	14	34
4	10	100
6	23	22
9	35	73
25	18	53
6	32	55
25	12	59
16	15	57
6	16	81
22	37	54
17	28	37
7	23	28
19	29	63
9	27	15
22	11	15
7	11	65
21	37	44
5	10	43
15	20	13
23	21	14
18	6	16
22	13	100
19	14	26
22	22	75
19	16	84
19	21	38
11	8	71
9	7	34
24	34	23
14	19	12
1	18	61
22	12	41
9	16	68
23	3	54
12	27	64
6	29	48
