100	150
2	11	60
18	36	60
4	14	94
12	32	40
7	17	22
11	28	30
24	12	69
13	13	64
25	28	74
22	14	21
9	33	88
22	13	48
11	20	92
5	4	71
1	36	12
14	14	89
20	25	95
13	16	96
1	18	54
18	6	62
6	8	33
8	16	90
16	14	88
7	28	46
2	22	81
1	22	64
11	28	53
2	30	35
5	3	90
13	27	26
21	27	29
5	3	97
18	3	22
20	29	22
7	24	75
12	21	85
12	22	64
18	27	84
8	16	26
15	8	88
1	37	16
12	12	41
12	28	92
9	34	81
23	11	51
14	20	26
15	8	62
11	11	98
25	34	54
6	4	96
11	27	74
20	8	22
17	4	21
20	11	15
17	22	18
20	18	73
3	28	81
12	24	10
8	8	64
22	25	20
25	13	86
16	4	52
21	29	66
17	11	68
12	31	24
19	34	18
13	31	19
10	34	37
14	31	52
18	14	92
