100	150
9	29	22
6	1	56
13	14	43
10	35	17
3	4	54
5	37	45
23	10	44
19	13	62
8	7	82
7	14	81
9	1	62
4	17	46
7	21	58
1	34	42
4	35	35
10	11	47
9	19	10
9	25	98
20	32	57
21	23	38
21	29	30
4	33	73
13	31	21
20	27	30
5	37	49
12	26	39
25	7	90
17	8	79
4	33	95
18	20	62
22	15	99
17	8	65
14	9	75
8	32	24
23	25	89
16	22	25
9	18	33
10	31	70
4	26	11
4	11	45
23	28	45
25	22	84
23	35	98
8	18	39
6	35	55
19	26	52
16	4	31
15	11	64
5	34	84
17	31	15
10	18	64
12	17	97
6	32	53
2	15	90
22	29	76
13	15	13
1	6	25
14	19	27
12	13	79
15	35	41
6	24	90
25	34	12
13	26	59
9	34	16
5	37	36
5	32	77
16	24	57
3	30	34
4	32	60
25	14	45
3	35	20
17	21	74
9	23	99
19	34	45
5	10	30
1	22	41
18	28	70
2	13	48
9	30	28
25	25	75
1	24	44
5	11	51
16	30	16
3	1	19
18	25	35
9	22	41
20	2	16
15	10	71
2	5	78
10	8	65
