100	150
20	17	98
24	21	35
8	11	35
2	37	90
2	12	32
25	2	73
24	15	83
15	14	72
17	23	62
24	16	48
6	11	17
6	24	79
17	33	80
18	17	37
15	32	79
11	4	34
24	2	58
12	25	18
23	35	92
25	11	72
23	3	90
17	16	52
23	25	73
17	25	64
6	24	73
7	17	30
10	28	84
19	33	49
11	18	77
6	12	19
8	34	42
12	21	79
25	20	23
21	2	32
24	1	19
13	13	39
4	31	22
5	21	49
16	18	93
19	5	84
5	34	97
23	14	41
19	23	31
2	23	83
4	14	15
8	18	94
12	30	69
9	6	56
17	5	77
6	26	86
22	37	37
1	24	45
11	13	66
7	2	37
9	22	55
21	23	62
24	32	56
22	21	41
7	35	50
17	21	34
