20	20
1	4	90
2	1	11
3	1	10
1	5	86
4	4	66
2	3	90
5	5	88
2	2	92
2	1	95
2	3	78
3	2	50
1	2	78
5	2	17
4	5	22
5	1	87
1	1	12
4	1	67
5	5	89
4	5	79
4	1	79
3	3	29
5	4	75
4	1	70
2	4	23
3	5	94
5	3	59
4	4	25
5	5	20
3	4	57
2	3	46
3	2	40
5	5	94
3	1	41
4	3	10
3	3	19
2	1	77
5	2	20
5	1	79
1	1	33
5	1	27
4	2	52
5	3	63
2	3	25
2	2	50
3	4	41
2	4	57
2	2	22
2	3	32
1	5	73
3	5	66
5	3	75
4	3	76
1	3	50
1	2	53
2	3	37
5	5	43
3	5	13
4	2	33
1	5	18
2	3	69
2	3	12
4	1	21
4	5	74
5	5	31
4	5	75
2	2	12
1	1	40
3	3	63
4	3	83
1	5	65
5	2	97
4	5	47
3	1	95
1	1	48
5	3	20
1	5	52
1	5	79
5	4	89
2	5	10
1	4	35
