20	20
1	5	34
1	1	54
3	1	83
2	3	66
2	3	33
2	5	35
5	5	78
3	5	43
5	3	55
3	5	56
3	2	70
2	1	62
1	1	35
3	1	34
5	5	14
3	4	64
3	5	87
1	3	39
3	2	29
3	5	67
5	1	44
3	5	82
2	3	24
4	3	76
4	5	87
4	5	38
3	1	81
5	2	64
3	2	29
4	5	35
3	1	33
1	3	15
1	2	12
3	3	98
2	4	94
2	2	25
5	3	90
4	1	28
4	1	99
3	1	16
5	1	78
1	2	20
2	2	61
5	3	37
5	4	81
1	4	93
5	5	13
4	2	75
5	4	97
2	1	33
3	5	41
2	1	44
3	2	98
4	1	79
5	2	95
3	2	61
1	4	80
2	1	80
1	5	63
4	1	69
3	4	62
4	2	24
1	3	22
4	4	28
4	1	92
4	1	57
2	2	51
3	5	88
1	2	85
3	1	35
2	4	91
3	4	99
5	2	60
5	2	18
5	1	26
1	4	97
4	4	94
3	1	100
2	2	75
2	1	44
4	5	95
2	1	70
5	5	78
2	1	42
2	2	79
4	1	13
2	1	52
1	5	24
2	3	44
4	5	68
5	1	44
2	3	85
3	2	36
2	4	77
4	2	18
1	1	92
2	4	51
4	4	67
1	1	81
4	5	74
