100	60
23	12	64
9	8	23
14	8	19
24	3	16
12	11	80
22	14	57
19	9	48
24	10	25
12	12	60
9	2	60
3	5	97
19	2	63
23	6	13
24	12	42
10	1	90
18	8	14
1	9	13
12	7	49
22	12	34
4	12	99
1	6	64
15	9	44
20	12	41
25	13	46
17	11	100
17	11	28
22	3	54
25	3	63
1	10	41
12	8	87
10	10	64
21	13	21
2	4	22
24	5	34
3	4	40
19	3	26
8	7	17
2	3	70
8	2	14
21	2	78
9	12	85
14	8	17
20	7	85
20	8	22
14	5	28
12	1	29
9	5	98
11	3	47
17	14	19
4	1	52
6	15	94
23	1	77
14	13	26
19	12	40
4	4	24
25	4	83
3	10	51
16	2	62
18	4	60
2	12	45
13	5	27
1	14	54
16	4	92
15	8	98
3	12	37
21	2	90
4	6	16
4	2	10
21	14	47
1	5	56
3	14	25
9	12	64
12	6	24
7	5	61
7	11	34
11	3	99
20	9	52
7	15	27
4	12	33
13	12	67
