100	60
24	15	45
20	12	56
22	12	91
17	3	45
8	12	68
19	5	32
21	14	51
19	1	69
13	5	87
16	1	72
8	1	71
21	12	79
8	1	59
3	11	70
16	11	68
11	10	27
14	3	51
3	2	88
11	9	49
24	15	35
25	14	78
7	12	41
10	8	69
22	6	70
7	3	28
3	10	69
20	13	13
23	10	47
13	8	94
17	10	55
7	2	48
18	4	24
9	6	78
16	2	94
2	15	83
20	14	45
5	11	82
18	14	72
12	6	42
20	6	13
15	8	30
25	9	51
5	8	98
23	10	16
23	8	47
8	3	20
25	8	11
22	7	83
2	15	41
12	15	84
13	4	70
2	1	46
11	3	37
18	10	30
3	1	54
7	9	17
13	13	44
13	7	62
20	12	29
6	13	28
16	4	83
10	14	85
17	3	31
1	5	26
6	11	96
5	12	60
6	3	31
14	6	75
8	1	37
25	9	73
10	2	58
2	12	27
13	12	84
14	15	49
14	14	81
17	3	47
8	1	46
12	1	94
2	15	58
2	15	43
8	5	23
3	15	87
21	2	81
8	11	94
5	11	26
25	3	88
19	12	48
25	4	31
1	5	20
12	12	73
20	14	37
17	11	39
18	1	81
5	11	74
6	4	58
8	13	13
10	7	100
16	11	50
11	6	20
14	15	49
