80	80
4	11	11
4	19	30
16	16	85
11	6	57
8	10	46
17	15	100
20	13	14
8	10	23
14	13	68
5	20	34
15	4	12
11	19	76
18	10	10
17	10	57
10	7	37
17	18	98
20	20	43
18	14	98
12	13	80
6	13	91
18	4	49
20	8	48
13	15	15
18	14	17
12	3	86
19	13	37
5	9	44
12	6	65
2	3	45
20	8	51
6	2	13
5	14	49
6	10	54
7	19	39
9	15	52
11	15	16
18	14	44
13	15	50
9	6	98
19	9	83
4	17	77
6	7	15
6	16	55
19	15	57
11	5	75
6	1	36
17	12	52
11	10	62
17	15	90
17	5	23
1	17	28
5	12	78
2	9	96
18	7	86
4	14	56
4	17	21
5	1	30
6	13	36
5	17	96
5	16	100
19	4	48
9	8	31
6	1	40
20	20	23
7	2	40
20	13	69
11	18	23
17	6	17
8	5	58
18	5	30
