80	80
2	6	85
6	14	23
6	14	39
11	11	23
20	16	46
20	7	72
10	11	40
17	17	96
10	3	87
7	9	87
10	1	45
19	19	60
5	17	52
9	12	31
13	8	95
3	6	55
15	15	41
8	9	22
16	6	97
16	2	98
2	15	89
17	19	36
16	16	81
16	16	54
18	11	68
9	1	11
2	4	26
13	13	36
3	12	49
18	10	35
2	6	90
13	12	71
17	15	23
5	2	15
17	8	49
20	16	53
8	19	91
9	5	55
13	8	56
1	20	85
10	8	49
16	16	79
17	20	49
2	16	100
13	12	35
6	12	29
5	13	41
14	12	85
16	1	84
18	4	50
6	12	68
6	1	26
4	8	10
8	13	35
19	2	37
2	15	38
11	19	17
4	7	89
5	5	35
7	9	32
8	11	60
3	13	74
15	8	51
4	1	42
20	5	54
12	7	35
13	3	86
6	5	25
5	3	61
3	16	67
12	3	66
5	11	71
4	11	80
16	18	45
8	13	45
14	14	38
1	6	65
16	1	32
11	3	75
17	3	69
