80	80
9	3	97
2	3	55
5	8	25
4	15	24
3	2	35
11	18	75
19	16	86
16	11	52
19	5	62
17	16	14
13	5	29
9	1	82
19	20	46
13	13	85
20	3	58
14	14	97
6	4	55
4	1	10
16	20	71
18	7	11
8	4	69
14	4	27
17	7	54
2	4	40
18	9	34
2	13	48
20	12	43
4	8	58
17	10	86
15	3	48
14	3	36
4	1	33
10	9	63
2	18	14
4	16	44
2	2	19
8	15	26
14	15	80
4	13	27
11	12	72
16	12	20
10	13	57
14	16	29
17	5	49
8	13	43
4	17	89
20	12	25
2	12	28
18	12	19
11	1	97
5	19	32
7	1	50
5	11	69
17	13	17
10	19	49
20	3	88
2	11	22
16	5	63
1	9	53
17	14	30
1	2	25
12	9	92
20	14	91
3	13	29
17	3	56
6	7	47
2	3	28
13	3	72
14	8	97
2	7	49
14	16	37
3	10	70
1	10	44
16	20	82
6	4	66
5	6	84
5	20	99
14	13	10
2	3	24
16	17	60
12	17	66
1	14	67
10	6	16
7	1	73
5	16	100
3	2	19
2	15	82
12	14	85
2	20	17
9	12	42
20	19	92
1	16	82
19	9	31
5	15	42
5	18	100
16	9	48
7	11	42
14	19	93
6	20	96
2	8	99
