100	50
12	7	56
24	10	36
18	9	31
4	5	32
25	9	31
7	12	77
1	3	13
24	4	46
11	6	80
10	11	27
7	1	28
2	2	87
23	3	92
14	3	38
6	7	54
6	7	48
19	10	74
23	7	16
22	8	16
10	12	97
24	4	29
1	2	42
1	6	91
8	3	85
2	9	18
6	6	38
16	2	12
4	11	50
15	1	32
18	8	78
17	5	80
8	2	84
20	3	44
23	8	42
1	1	46
15	10	51
18	9	76
6	7	74
11	5	64
2	3	81
11	7	99
22	6	99
5	12	41
2	5	93
14	1	30
22	11	45
13	8	93
9	8	61
14	2	19
21	7	75
8	7	27
19	10	68
4	9	27
6	1	56
9	12	30
18	6	24
19	5	18
20	7	32
12	3	50
9	4	22
10	6	10
13	12	37
23	5	92
17	3	21
2	10	58
19	1	82
22	8	89
4	8	87
22	4	90
15	4	68
1	12	59
20	7	10
9	5	56
13	2	59
23	6	55
10	6	92
7	1	16
12	8	78
21	8	65
21	2	62
24	6	13
12	8	71
21	9	29
13	4	96
1	12	69
11	6	58
8	12	95
10	7	87
17	9	72
1	5	39
