100	50
14	3	23
1	5	75
13	12	40
19	8	47
1	8	58
7	5	40
23	10	30
17	4	25
13	2	34
23	4	77
12	4	57
8	3	71
10	3	33
5	5	36
16	5	21
20	11	85
5	8	58
4	1	11
15	3	89
9	6	46
4	4	40
19	10	88
22	7	15
15	7	26
19	9	25
24	7	87
17	2	86
3	4	34
24	8	32
6	3	40
9	5	36
17	4	90
15	8	28
2	4	13
22	3	21
14	10	43
22	4	46
13	10	39
24	5	96
18	4	14
24	7	14
6	1	11
7	8	53
12	3	17
19	12	77
5	12	50
20	2	45
15	2	17
2	10	65
12	11	69
14	1	49
16	9	25
5	8	72
21	8	68
10	7	69
25	4	59
10	2	51
18	1	56
18	11	87
20	2	67
5	6	54
13	4	99
4	7	49
21	1	70
6	1	91
19	9	83
3	5	13
8	6	63
2	4	25
16	10	94
12	6	30
11	11	29
18	5	40
13	12	99
3	3	81
24	1	99
21	1	84
8	12	58
11	2	72
16	3	37
21	9	19
22	1	86
13	11	55
5	7	51
18	6	53
3	11	63
20	6	100
19	6	91
11	3	13
2	1	93
13	8	68
1	2	96
10	12	43
15	2	93
23	6	60
24	8	30
22	9	48
7	9	54
8	5	79
1	2	47
