100	50
4	1	16
4	10	67
5	10	13
19	2	47
14	3	46
14	8	82
11	12	15
14	12	56
4	8	26
20	8	54
25	3	32
9	3	57
13	5	43
15	2	30
21	2	26
17	9	62
17	11	63
19	1	82
9	3	35
17	9	80
17	9	17
14	10	37
11	8	11
10	3	82
9	4	39
19	4	30
12	11	15
25	9	41
18	3	66
3	6	54
7	8	91
13	4	70
14	3	26
20	4	78
23	7	62
8	7	62
16	2	50
2	3	25
15	12	26
2	3	10
15	4	66
10	6	30
16	8	66
22	6	83
24	2	38
10	12	27
17	6	31
14	12	43
4	9	99
13	8	78
5	10	66
24	12	100
19	6	66
23	10	53
16	1	26
1	1	63
2	2	55
19	12	67
4	5	45
13	11	24
1	9	32
4	1	75
19	8	30
15	6	75
24	11	80
7	7	55
3	12	75
15	5	56
6	6	38
21	12	85
