60	100
5	21	95
5	2	78
7	25	98
1	11	99
2	13	59
11	20	22
9	11	59
9	1	28
10	23	48
5	6	78
12	20	24
8	4	60
4	13	96
13	6	52
14	4	61
4	16	87
9	22	69
10	13	84
4	6	18
4	14	59
8	6	92
3	7	87
9	2	52
3	10	55
5	6	55
14	7	51
12	2	41
15	15	99
3	14	39
2	15	81
10	21	37
9	18	13
15	14	97
3	10	48
1	4	37
8	11	96
8	13	56
5	8	48
14	6	22
6	11	23
7	25	93
4	5	59
9	7	36
13	25	74
1	5	89
13	12	87
4	7	97
1	11	43
8	3	85
5	8	97
14	22	27
13	23	41
9	7	32
3	19	56
7	3	86
15	16	26
10	13	79
11	9	74
13	10	52
2	21	67
9	10	69
13	21	70
6	4	53
13	18	15
1	12	60
2	1	98
12	6	97
4	10	39
14	25	45
8	16	46
