100	70
25	3	44
6	4	45
12	14	15
10	14	51
14	2	37
13	13	93
9	2	10
14	6	24
15	14	21
15	13	72
5	2	88
25	1	73
15	12	19
16	13	100
4	13	60
3	15	55
14	8	65
15	15	80
24	4	35
18	3	58
14	15	96
4	4	38
15	8	10
2	2	38
20	17	70
9	8	26
3	8	14
9	1	30
3	9	79
6	5	73
19	17	90
21	6	31
15	14	73
3	1	11
24	8	29
16	9	46
4	1	17
13	12	63
2	10	89
25	6	24
22	1	20
9	3	30
1	7	42
14	5	72
22	5	19
9	14	60
7	2	73
9	9	59
1	2	53
24	16	10
8	17	15
5	4	53
2	15	71
3	14	57
13	14	46
23	1	46
23	9	46
15	6	24
7	13	16
17	9	85
16	17	67
23	9	44
5	13	80
10	1	64
10	12	51
5	6	26
18	17	43
11	7	22
10	3	11
17	11	71
4	1	11
4	1	31
7	1	82
9	3	57
5	6	44
24	16	24
25	10	98
6	14	49
23	5	37
1	11	12
