100	70
6	8	12
17	8	67
12	2	32
1	4	56
1	15	45
2	3	61
22	6	20
9	15	84
3	2	22
20	10	67
20	14	34
21	14	100
24	2	70
5	16	66
4	17	89
3	16	70
21	8	68
25	16	65
3	11	18
23	9	79
1	5	96
8	5	93
6	2	85
22	4	20
17	11	86
25	9	54
9	7	65
11	16	13
9	9	64
1	11	57
24	16	88
2	8	61
24	10	39
21	8	99
4	8	42
9	15	60
7	5	88
16	10	30
2	12	34
11	5	97
4	6	31
25	7	21
12	12	85
15	17	34
20	15	93
15	9	60
13	9	39
1	12	83
13	11	74
24	11	40
9	16	73
22	17	91
16	16	56
4	2	79
17	9	58
11	15	53
14	8	60
8	9	60
22	12	49
7	6	15
22	16	90
25	8	95
11	1	96
12	13	16
13	2	92
6	13	56
4	6	43
15	15	44
22	8	87
12	5	95
