100	70
17	5	72
10	3	43
20	7	87
1	10	82
18	3	91
22	14	81
5	12	64
6	10	87
18	10	15
8	11	95
17	13	89
22	10	43
18	8	54
12	11	58
19	1	71
19	14	70
12	3	22
1	2	24
3	11	20
22	7	65
19	15	60
24	2	56
23	14	21
15	3	63
8	4	48
21	3	17
25	2	17
18	15	80
20	1	72
18	8	91
19	13	55
16	17	99
6	8	96
6	6	45
5	14	34
2	15	49
7	3	74
9	5	31
17	14	70
2	15	77
9	12	14
4	10	91
21	11	29
12	4	96
18	3	71
16	8	46
23	4	44
21	1	60
4	11	52
18	1	23
3	8	28
21	2	59
25	13	38
1	4	37
3	3	72
22	8	30
19	11	72
2	7	30
23	8	88
13	2	72
20	17	39
3	10	76
15	13	17
14	10	98
8	12	72
6	9	80
3	7	19
22	8	38
2	16	95
17	11	35
17	2	86
1	11	52
13	7	58
22	4	38
1	6	91
16	17	19
20	15	25
23	11	96
23	14	37
16	13	56
7	8	47
24	7	37
4	16	28
18	13	12
24	6	33
19	16	53
10	7	57
21	8	65
2	6	80
3	16	17
