60	60
11	14	31
3	5	77
14	7	48
9	3	67
4	8	48
10	12	90
2	3	15
3	9	77
6	4	88
9	12	88
7	10	53
5	14	21
9	2	63
14	1	16
6	8	29
1	14	78
5	6	83
8	6	10
9	4	85
11	14	53
13	13	94
8	11	93
14	13	70
14	9	50
7	15	43
8	8	33
2	9	89
5	11	40
10	6	65
5	8	89
7	8	83
10	10	22
13	8	84
5	5	37
7	5	59
11	5	52
14	15	57
5	4	84
10	8	25
13	6	30
5	6	42
3	3	80
15	13	77
11	9	24
15	7	67
12	15	99
1	2	71
10	2	40
10	15	60
5	10	85
4	6	20
12	8	21
15	7	10
14	1	50
7	2	29
10	15	32
13	5	62
13	13	42
9	3	75
5	8	49
12	4	89
6	12	86
8	5	94
4	3	23
13	1	30
4	9	99
2	2	16
10	8	62
14	4	46
12	10	26
12	10	28
6	13	31
7	12	59
10	2	69
2	1	43
12	14	57
4	13	19
1	5	81
2	3	38
14	12	50
5	11	93
6	14	74
7	6	14
2	2	57
2	3	70
1	13	40
1	3	44
3	10	24
6	4	66
9	10	76
