60	60
8	4	43
2	3	88
1	8	34
5	6	99
6	1	90
12	9	53
12	1	40
12	3	51
12	7	69
11	2	74
12	2	51
10	7	69
2	3	55
12	12	89
8	14	77
15	15	27
6	6	43
15	10	81
7	1	94
15	9	74
1	15	91
5	11	100
14	9	94
3	10	71
1	10	27
4	15	57
2	1	28
11	5	36
3	5	70
10	14	38
8	7	82
11	13	52
10	3	68
3	10	70
8	13	62
10	4	22
2	2	57
8	5	94
10	13	43
5	4	42
3	8	99
9	9	41
15	5	47
9	13	71
15	9	94
6	15	50
2	10	46
6	3	29
12	7	80
10	6	85
8	8	67
15	10	10
12	1	60
2	7	14
11	11	47
10	2	15
10	10	35
2	1	33
1	6	52
10	3	44
15	14	91
13	3	36
15	4	52
11	7	22
3	9	60
7	5	86
12	12	88
3	14	63
6	8	46
9	8	54
11	5	19
2	6	91
6	2	73
10	7	85
13	13	69
8	10	69
7	13	61
4	11	79
1	11	15
2	14	32
3	8	75
13	3	15
5	3	13
6	13	42
8	8	65
8	3	13
10	11	80
9	7	51
3	4	20
8	4	90
12	12	83
5	9	73
1	13	96
6	3	45
4	7	35
1	7	38
11	6	26
5	3	75
9	1	58
2	8	79
