70	100
11	14	54
1	11	53
13	6	17
4	1	35
11	11	73
9	4	48
16	16	24
15	4	93
11	25	49
1	4	96
8	3	60
16	14	40
6	15	24
16	25	98
6	7	18
13	8	84
16	4	92
16	2	61
3	3	99
11	24	21
10	12	35
3	17	52
9	18	37
13	25	21
16	25	86
2	16	85
6	16	61
7	16	28
3	3	40
6	14	88
10	12	79
2	21	74
17	24	10
5	3	76
13	22	49
5	14	85
3	10	89
2	3	30
3	22	80
4	2	31
4	5	100
7	12	64
7	15	12
11	8	72
3	12	47
17	6	56
11	16	17
15	13	63
1	6	48
16	10	36
5	6	51
7	18	33
11	3	26
16	4	16
17	4	60
13	13	22
3	14	31
3	7	72
6	20	96
7	23	77
11	3	98
3	25	10
15	9	33
11	17	16
11	25	40
9	14	85
9	11	37
9	18	10
3	20	59
12	2	46
14	12	42
6	15	36
6	11	56
11	3	49
16	21	49
1	17	87
16	9	92
5	25	51
14	5	99
7	12	82
9	6	34
8	20	42
16	18	12
3	15	57
5	20	63
16	23	99
5	25	45
13	20	31
3	20	55
8	1	51
16	11	73
16	10	10
7	11	20
15	2	45
15	14	97
7	1	65
6	20	40
11	7	22
11	5	16
14	15	83
