70	100
8	12	67
17	13	92
3	24	11
9	23	41
15	12	66
9	10	89
7	13	40
15	25	52
1	9	14
1	11	59
1	24	14
11	3	75
4	23	91
9	25	46
2	17	41
7	22	72
3	1	63
11	25	38
14	3	89
4	6	50
16	1	74
4	6	62
10	14	59
1	6	56
1	20	65
13	5	79
2	13	72
5	8	55
11	14	14
9	14	12
7	14	81
3	17	82
2	8	33
6	21	85
6	19	73
17	20	96
2	8	75
8	19	39
8	12	79
2	5	34
9	2	26
9	25	65
9	13	85
5	23	44
10	10	64
15	15	57
12	18	52
4	23	45
13	19	40
11	14	17
1	19	65
12	5	83
1	10	12
5	8	70
16	11	72
6	12	33
3	2	88
12	22	37
11	17	34
3	13	22
17	18	87
11	2	46
16	13	58
6	21	77
5	10	84
5	5	43
4	9	96
14	11	66
8	11	48
1	16	84
2	18	66
5	23	53
3	10	43
3	11	45
8	20	40
2	17	10
3	22	57
7	25	80
8	21	79
9	24	74
