70	100
17	20	63
9	10	71
6	21	63
3	18	76
6	21	57
4	13	16
9	19	54
6	6	50
4	24	80
5	4	39
6	22	33
6	14	19
6	14	32
16	9	93
13	9	90
10	6	64
16	8	28
13	24	66
12	19	95
2	17	84
1	25	52
13	24	10
3	15	73
16	12	28
16	16	37
2	14	90
12	14	68
16	2	70
6	1	65
14	16	80
6	4	21
6	18	53
3	2	60
3	3	17
3	15	60
7	23	67
13	16	93
1	18	46
3	13	32
4	11	18
1	17	20
12	5	12
17	25	17
12	6	83
15	17	77
15	7	79
9	4	58
10	1	62
12	14	60
11	20	63
4	19	40
11	8	63
14	10	86
4	7	86
5	24	14
14	3	74
5	2	46
6	14	83
4	5	16
7	13	51
8	8	59
17	16	37
15	20	68
9	7	80
17	14	31
3	22	16
14	10	42
2	6	82
6	25	33
2	4	10
