100	100
18	24	52
4	5	63
16	21	88
7	17	46
10	10	25
7	10	40
8	22	40
14	11	93
21	7	100
3	15	74
17	11	63
21	13	77
25	12	97
3	8	28
15	11	31
14	8	53
24	11	67
10	22	38
23	17	57
1	6	16
10	19	47
8	22	91
3	19	18
17	23	94
7	12	54
15	8	50
21	6	70
5	14	100
23	17	10
20	1	24
21	3	62
13	21	23
25	1	42
25	20	56
3	1	17
2	12	93
4	20	31
7	18	77
10	1	33
10	23	41
21	24	34
23	24	19
1	13	100
2	14	19
1	10	59
16	15	66
12	3	51
16	23	27
9	13	83
22	22	61
25	18	12
12	11	58
5	20	42
19	5	72
3	5	48
17	8	24
15	4	15
11	3	14
25	4	100
7	4	49
9	15	13
12	23	85
15	10	13
20	20	17
12	25	47
23	23	18
13	19	55
8	14	23
18	6	16
16	20	97
21	5	84
14	23	68
17	25	63
15	1	44
7	25	21
18	14	56
21	24	40
11	5	53
7	11	56
13	24	92
8	14	63
13	9	47
17	5	81
10	18	76
3	11	77
13	5	63
19	1	63
16	2	20
8	14	62
6	14	15
6	2	15
10	7	46
14	21	51
10	11	56
9	23	73
20	3	71
15	8	49
23	1	85
4	16	78
3	14	44
