100	100
6	2	15
4	16	12
23	17	88
7	8	81
16	8	17
24	18	36
17	16	71
2	9	68
4	1	85
16	18	78
24	2	18
17	9	57
12	15	55
15	23	23
20	9	32
22	11	50
4	18	82
17	11	76
18	17	21
3	6	97
6	23	51
15	15	62
6	3	41
1	24	59
14	17	95
5	10	23
5	21	10
5	12	51
2	25	36
7	25	52
17	20	55
22	18	74
23	3	69
25	4	37
23	25	54
2	10	78
18	12	74
16	4	44
23	6	91
13	23	26
4	10	99
2	9	17
15	7	56
24	21	90
7	12	93
21	23	96
25	7	67
14	7	46
17	18	10
11	7	92
19	11	99
5	8	99
13	15	82
1	21	77
22	1	100
24	4	17
3	15	18
22	18	23
16	4	76
21	12	64
4	18	46
16	2	76
15	5	84
12	6	36
3	2	99
20	10	100
20	2	74
14	8	66
21	2	42
18	23	93
